Country,Code
Taiwan,TWN
Hong Kong,HKG
Macau,MAC
Afghanistan,AFG
Albania,ALB
Algeria,DZA
Andorra,AND
Angola,AGO
Anguilla,AIA
Argentina,ARG
Armenia,ARM
Australia,AUS
Austria,AUT
Belgium,BEL
Brazil,BRA
Bulgaria,BGR
Canada,CAN
China,CHN
Czech,CZE
Denmark,DNK
Egypt,EGY
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hungary,HUN
India,IND
Indonesia,IDN
Iran,IRN
Israel,ISR
Italy,ITA
Japan,JPN
Kazakhstan,KAZ
Lebanon,LBN
Libya,LBY
Malaysia,MYS
Mauritius,MUS
Mexico,MEX
Monaco,MCO
Morocco,MAR
Myanmar,MMR
Netherlands,NLD
New Zealand,NZL
Norway,NOR
Pakistan,PAK
Philippines,PHL
Poland,POL
Portugal,PRT
Qatar,QAT
Romania,ROU
Russia,RUS
Saudi Arabia,SAU
Singapore,SGP
Slovenia,SVN
South Africa,ZAF
South Korea,KOR
Spain,ESP
Sweden,SWE
Switzerland,CHE
Thailand,THA
Tunisia,TUN
Turkey,TUR
Ukraine,UKR
UAE,ARE
UK,GBR
USA,USA
Vietnam,VNM
